ONLY EDIT THIS COLUMN,QB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Justin Joly (26842) [DEN],26842,Justin Joly,DEN,26,
Eli Raridon (26863) [NE],26863,Eli Raridon,NE,27,
Jack Endries (26754) [CIN],26754,Jack Endries,CIN,28,
Gunnar Helm (25962) [TEN],25962,Gunnar Helm,TEN,29,
Chig Okonkwo (23489) [WAS],23489,Chig Okonkwo,WAS,30,
Hunter Henry (17975) [NE],17975,Hunter Henry,NE,31,
Pat Freiermuth (22507) [PIT],22507,Pat Freiermuth,PIT,32,
Tanner Koziol (26793) [JAX],26793,Tanner Koziol,JAX,33,
Sam Roush (26938) [CHI],26938,Sam Roush,CHI,34,
Max Klare (26753) [LAR],26753,Max Klare,LAR,35,
David Njoku (18876) [LAC],18876,David Njoku,LAC,36,
AJ Barner (25106) [SEA],25106,AJ Barner,SEA,37,
Elijah Arroyo (26032) [SEA],26032,Elijah Arroyo,SEA,38,
Colby Parkinson (21807) [LAR],21807,Colby Parkinson,LAR,39,
Ben Sinnott (24985) [WAS],24985,Ben Sinnott,WAS,40,
Cade Otton (23134) [TB],23134,Cade Otton,TB,41,
Joe Royer (26843) [CLE],26843,Joe Royer,CLE,42,
Luke Musgrave (24150) [GB],24150,Luke Musgrave,GB,43,
Michael Mayer (23140) [LV],23140,Michael Mayer,LV,44,
Evan Engram (18912) [DEN],18912,Evan Engram,DEN,45,
Marlin Klein (26925) [HOU],26925,Marlin Klein,HOU,46,
Theo Johnson (23142) [NYG],23142,Theo Johnson,NYG,47,
Jonnu Smith (18990) [FA],18990,Jonnu Smith,,48,
Ja'Tavion Sanders (24947) [CAR],24947,Ja'Tavion Sanders,CAR,49,
Cole Kmet (21772) [CHI],21772,Cole Kmet,CHI,50,
Michael Trigg (28066) [DAL],28066,Michael Trigg,DAL,51,
Noah Gray (21785) [KC],21785,Noah Gray,KC,52,
Dae'Quan Wright (26792) [PHI],26792,Dae'Quan Wright,PHI,53,
Mitchell Evans (25875) [CAR],25875,Mitchell Evans,CAR,54,
Zach Ertz (14856) [FA],14856,Zach Ertz,,55,
